Public - Call ahead,0,1,1,0,0,0,42.011118,-87.771232,47215
Private,0,1,0,0,0,0,42.011118,-87.771232,47216
Public - Call ahead,0,1,0,0,0,0,41.721327,-87.7281749,47217
Private,0,1,0,0,0,0,41.721327,-87.7281749,47218
Public - Call ahead,0,1,0,0,0,0,41.6018418,-87.8278174,47219
Private,0,1,0,0,0,0,41.6018418,-87.8278174,47220
Public,0,1,0,0,0,0,41.4987984,-87.8509521,47254
Public,0,2,0,0,0,0,41.9355327,-87.8655765,47455
Public,0,2,0,0,0,0,41.9371908,-87.8634754,47456
Public,2,2,0,0,0,0,42.1382159,-87.9308421,48056
Public,0,2,0,0,0,0,41.459327,-87.574004,48391
Public,0,2,0,0,0,0,41.643893,-88.003154,48392
Public,0,2,0,0,0,0,41.615878,-88.121148,48393
Public,0,1,0,0,0,0,41.983917,-88.028338,48847
Public,0,1,0,0,0,0,41.9250526,-88.0309753,49023
Public - Call ahead,0,2,0,0,0,0,41.7967276,-88.0101322,49660
Public,0,2,0,0,0,0,41.876297,-88.0673904,49661
Public,0,1,0,0,0,0,42.4334957,-87.8964495,50078
Public,0,2,0,0,0,0,42.078494,-88.213429,50163
Public,0,2,0,0,0,0,41.8361992,-88.0262566,50465
Public,0,1,0,0,0,0,41.9291954,-87.8643341,50466
Public,0,2,0,0,0,0,42.2675387,-87.9510266,50467
Public,0,2,0,0,0,0,41.880724,-87.6291006,50471
Public,0,2,0,0,0,0,41.8936163,-87.6326862,50472
Public,0,2,0,0,0,0,42.0825418,-88.0740989,50475
Public,0,10,0,0,0,0,41.9151952,-87.8407299,50477
Public,0,2,0,0,0,0,41.5500988,-87.7977326,50478
Public,0,2,0,0,0,0,42.2313088,-87.940025,50479
Public,0,2,0,0,0,0,41.8903361,-87.8032961,50669
Public,0,2,0,0,0,0,41.8874676,-87.7937989,50670
Public,0,2,0,0,0,0,41.693022,-87.839537,51268
Public,0,2,0,0,0,0,41.9321258,-87.9920693,51533
Public,0,2,0,0,0,0,41.8913113,-87.6240589,51803
Public,0,2,0,0,0,0,41.810473,-87.654082,52051
Public,0,2,0,0,0,0,41.9280054,-88.1218468,53088
Public,0,2,0,0,0,0,42.0789033,-87.8631672,53412
Public,0,2,0,0,0,0,42.1848249,-87.799718,53685
Public,0,2,0,0,0,0,42.0298662,-87.7479383,53687
Private,0,1,0,0,0,0,42.0478235,-87.67889,53856
Private,0,2,0,0,0,0,42.0330792,-87.6775245,53857
Public,0,0,4,0,0,0,42.1742546,-87.8161958,53858
Public - Call ahead,0,1,0,0,0,0,42.0511995,-87.8338757,53859
Public,0,2,0,0,0,0,42.2511516,-87.8418486,55676
Public,0,2,0,0,0,0,41.714431,-88.2053583,55679
Public,0,2,0,0,0,0,42.1317468,-87.7859592,55685
